_c0,Timestamp,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken,TimeTakenNumeric,LogLevelIndex,features,prediction,distance
6,2023-11-20T08:40:50.714+03:00,WARNING,ServiceD,Performance Warnings,3378,User40,192.168.1.56,12ms,12.0,0.0,"[12.0,0.0]",1,13.691549639533479
50,2023-11-20T08:40:51.346+03:00,INFO,ServiceD,Startup Messages,2234,User48,192.168.1.171,72ms,72.0,2.0,"[72.0,2.0]",0,13.998233043897415
92,2023-11-20T08:40:51.943+03:00,WARNING,ServiceC,Performance Warnings,1968,User37,192.168.1.189,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
133,2023-11-20T08:40:52.462+03:00,FATAL,ServiceD,Crashes,6277,User39,192.168.1.242,41ms,41.0,4.0,"[41.0,4.0]",1,15.587637934941215
228,2023-11-20T08:40:53.742+03:00,FATAL,ServiceD,Data Corruption,9905,User88,192.168.1.242,12ms,12.0,4.0,"[12.0,4.0]",1,13.804085712332068
230,2023-11-20T08:40:53.774+03:00,INFO,ServiceC,Startup Messages,3353,User90,192.168.1.19,72ms,72.0,2.0,"[72.0,2.0]",0,13.998233043897415
237,2023-11-20T08:40:53.874+03:00,ERROR,ServiceB,Critical Errors,3473,User98,192.168.1.164,71ms,71.0,3.0,"[71.0,3.0]",2,14.533624845030541
266,2023-11-20T08:40:54.288+03:00,WARNING,ServiceD,Resource Warnings,3037,User1,192.168.1.85,72ms,72.0,0.0,"[72.0,0.0]",0,14.086232223532498
275,2023-11-20T08:40:54.409+03:00,ERROR,ServiceD,Critical Errors,7114,User36,192.168.1.234,11ms,11.0,3.0,"[11.0,3.0]",1,14.661909006527276
296,2023-11-20T08:40:54.699+03:00,DEBUG,ServiceB,File I/O,5922,User46,192.168.1.92,71ms,71.0,1.0,"[71.0,1.0]",2,14.479474982011219
301,2023-11-20T08:40:54.759+03:00,WARNING,ServiceD,Performance Warnings,7829,User11,192.168.1.43,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
314,2023-11-20T08:40:54.943+03:00,WARNING,ServiceC,Resource Warnings,3127,User59,192.168.1.11,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
336,2023-11-20T08:40:55.224+03:00,ERROR,ServiceB,Critical Errors,8201,User37,192.168.1.12,72ms,72.0,3.0,"[72.0,3.0]",0,14.0611103188635
360,2023-11-20T08:40:55.548+03:00,INFO,ServiceC,Startup Messages,5210,User29,192.168.1.79,40ms,40.0,2.0,"[40.0,2.0]",1,14.409014090065062
373,2023-11-20T08:40:55.735+03:00,WARNING,ServiceB,Performance Warnings,1847,User51,192.168.1.64,72ms,72.0,0.0,"[72.0,0.0]",0,14.086232223532498
392,2023-11-20T08:40:55.985+03:00,WARNING,ServiceC,Input Validation Warnings,4584,User86,192.168.1.61,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
394,2023-11-20T08:40:56.007+03:00,INFO,ServiceC,Startup Messages,3774,User75,192.168.1.39,42ms,42.0,2.0,"[42.0,2.0]",2,14.538569956315584
438,2023-11-20T08:40:56.601+03:00,WARNING,ServiceC,Resource Warnings,1151,User25,192.168.1.198,100ms,100.0,0.0,"[100.0,0.0]",0,14.100108246769237
465,2023-11-20T08:40:56.899+03:00,DEBUG,ServiceD,Algorithm Steps,3230,User58,192.168.1.18,42ms,42.0,1.0,"[42.0,1.0]",2,14.545944063001961
506,2023-11-20T08:40:57.384+03:00,WARNING,ServiceD,Input Validation Warnings,7480,User49,192.168.1.62,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
515,2023-11-20T08:40:57.495+03:00,WARNING,ServiceD,Performance Warnings,8308,User89,192.168.1.4,43ms,43.0,0.0,"[43.0,0.0]",2,13.628368708355834
546,2023-11-20T08:40:57.880+03:00,INFO,ServiceB,Startup Messages,1741,User60,192.168.1.215,42ms,42.0,2.0,"[42.0,2.0]",2,14.538569956315584
588,2023-11-20T08:40:58.442+03:00,FATAL,ServiceB,Crashes,2855,User20,192.168.1.54,72ms,72.0,4.0,"[72.0,4.0]",0,14.194334026196428
592,2023-11-20T08:40:58.504+03:00,WARNING,ServiceC,Input Validation Warnings,4457,User79,192.168.1.112,100ms,100.0,0.0,"[100.0,0.0]",0,14.100108246769237
612,2023-11-20T08:40:58.804+03:00,INFO,ServiceC,Status Updates,5702,User55,192.168.1.163,72ms,72.0,2.0,"[72.0,2.0]",0,13.998233043897415
618,2023-11-20T08:40:58.900+03:00,INFO,ServiceC,Startup Messages,3317,User20,192.168.1.71,11ms,11.0,2.0,"[11.0,2.0]",1,14.601301757387434
704,2023-11-20T08:41:00.037+03:00,FATAL,ServiceB,Data Corruption,4674,User85,192.168.1.165,42ms,42.0,4.0,"[42.0,4.0]",2,14.728919571919805
807,2023-11-20T08:41:01.501+03:00,WARNING,ServiceC,Input Validation Warnings,5961,User35,192.168.1.53,100ms,100.0,0.0,"[100.0,0.0]",0,14.100108246769237
829,2023-11-20T08:41:01.832+03:00,WARNING,ServiceD,Resource Warnings,3749,User55,192.168.1.127,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
856,2023-11-20T08:41:02.202+03:00,FATAL,ServiceB,Crashes,9852,User9,192.168.1.8,71ms,71.0,4.0,"[71.0,4.0]",2,14.663279947773933
886,2023-11-20T08:41:02.594+03:00,WARNING,ServiceD,Performance Warnings,6275,User15,192.168.1.71,42ms,42.0,0.0,"[42.0,0.0]",2,14.621865851979422
914,2023-11-20T08:41:03.000+03:00,WARNING,ServiceA,Input Validation Warnings,8890,User94,192.168.1.142,40ms,40.0,0.0,"[40.0,0.0]",1,14.493880144284795
945,2023-11-20T08:41:03.374+03:00,FATAL,ServiceB,Crashes,1996,User64,192.168.1.4,41ms,41.0,4.0,"[41.0,4.0]",1,15.587637934941215
967,2023-11-20T08:41:03.701+03:00,WARNING,ServiceC,Input Validation Warnings,1100,User28,192.168.1.180,11ms,11.0,0.0,"[11.0,0.0]",1,14.685056608657826
971,2023-11-20T08:41:03.749+03:00,DEBUG,ServiceD,File I/O,2897,User100,192.168.1.63,42ms,42.0,1.0,"[42.0,1.0]",2,14.545944063001961
1022,2023-11-20T08:41:04.456+03:00,FATAL,ServiceA,Crashes,8982,User80,192.168.1.101,43ms,43.0,4.0,"[43.0,4.0]",2,13.743163551878908
1096,2023-11-20T08:41:05.528+03:00,DEBUG,ServiceA,Trace Information,2654,User15,192.168.1.140,11ms,11.0,1.0,"[11.0,1.0]",1,14.609053710110219
1109,2023-11-20T08:41:05.676+03:00,WARNING,ServiceD,Input Validation Warnings,9451,User65,192.168.1.253,10ms,10.0,0.0,"[10.0,0.0]",1,15.679389135650677
1123,2023-11-20T08:41:05.863+03:00,INFO,ServiceC,Startup Messages,3190,User97,192.168.1.199,42ms,42.0,2.0,"[42.0,2.0]",2,14.538569956315584
1138,2023-11-20T08:41:06.062+03:00,WARNING,ServiceC,Performance Warnings,4733,User48,192.168.1.124,71ms,71.0,0.0,"[71.0,0.0]",2,14.555743473419305
1149,2023-11-20T08:41:06.190+03:00,DEBUG,ServiceD,SQL Queries,7501,User69,192.168.1.250,40ms,40.0,1.0,"[40.0,1.0]",1,14.416869436264353
1198,2023-11-20T08:41:06.862+03:00,WARNING,ServiceC,Input Validation Warnings,2176,User46,192.168.1.65,71ms,71.0,0.0,"[71.0,0.0]",2,14.555743473419305
1235,2023-11-20T08:41:07.412+03:00,INFO,ServiceD,Status Updates,8953,User54,192.168.1.220,10ms,10.0,2.0,"[10.0,2.0]",1,15.60097333751843
1250,2023-11-20T08:41:07.633+03:00,INFO,ServiceB,Status Updates,2982,User75,192.168.1.108,10ms,10.0,2.0,"[10.0,2.0]",1,15.60097333751843
1458,2023-11-20T08:41:10.638+03:00,ERROR,ServiceB,Critical Errors,4946,User7,192.168.1.178,10ms,10.0,3.0,"[10.0,3.0]",1,15.657711575557943
1496,2023-11-20T08:41:11.143+03:00,DEBUG,ServiceA,SQL Queries,4811,User12,192.168.1.130,10ms,10.0,1.0,"[10.0,1.0]",1,15.608228803184579
1523,2023-11-20T08:41:11.525+03:00,WARNING,ServiceA,Input Validation Warnings,9610,User56,192.168.1.254,41ms,41.0,0.0,"[41.0,0.0]",1,15.488066553615317
1562,2023-11-20T08:41:12.108+03:00,FATAL,ServiceA,Data Corruption,2428,User39,192.168.1.203,100ms,100.0,4.0,"[100.0,4.0]",0,14.208104474649751
1567,2023-11-20T08:41:12.185+03:00,DEBUG,ServiceA,File I/O,8913,User55,192.168.1.56,11ms,11.0,1.0,"[11.0,1.0]",1,14.609053710110219
